FlightDate,FlightNum,Route,Origin,Dest,Distance,Weather,DepartureTime,CRSDepTime,DelayMinutes,is_delay,Airline
1/9/2019,6E4445,BLR_BOM,BLR,BOM,840,Fog,2:30 PM,1430,6,1,IndiGo
1/12/2020,6E4991,DEL_DXB,DEL,DXB,2185,Rain,6:45 PM,1845,38,1,IndiGo
1/14/2019,6E4415,COK_DXB,COK,DXB,2700,Storm,5:00 AM,500,8,1,IndiGo
1/30/2019,6E1064,DEL_BOM,DEL,BOM,1400,Clear,1:30 AM,130,15,1,IndiGo
2/20/2019,6E4758,PNQ_BLR,PNQ,BLR,830,Clear,2:30 PM,1430,-6,0,IndiGo
4/7/2019,6E3264,HYD_BOM,HYD,BOM,710,Clear,8:00 AM,800,5,0,IndiGo
4/24/2019,6E4379,DEL_BOM,DEL,BOM,1400,Clear,8:00 AM,800,-26,0,IndiGo
4/29/2019,6E5414,BLR_HYD,BLR,HYD,625,Rain,9:30 AM,930,48,1,IndiGo
5/8/2019,6E3366,IDR_DXB,IDR,DXB,2200,Rain,7:15 PM,1915,14,1,IndiGo
5/15/2019,AI101,DEL_MUM,DEL,MUM,1400,Clear,9:00 AM,900,10,1,AirIndia
5/20/2019,AI102,MUM_DEL,MUM,DEL,1400,Clear,3:30 PM,1530,-5,0,AirIndia
5/25/2019,SG201,BLR_MUM,BLR,MUM,800,Fog,7:45 AM,745,20,1,SpiceJet
5/30/2019,SG202,MUM_BLR,MUM,BLR,800,Rain,10:15 PM,2215,0,0,SpiceJet
6/5/2019,6E5001,DEL_COK,DEL,COK,2200,Clear,12:00 PM,1200,30,1,IndiGo
6/10/2019,6E5002,COK_DEL,COK,DEL,2200,Storm,4:30 PM,1630,-10,0,IndiGo
6/15/2019,UK301,DEL_BOM,DEL,BOM,1400,Rain,6:00 AM,600,5,1,Vistara
6/20/2019,UK302,BOM_DEL,BOM,DEL,1400,Clear,10:00 AM,1000,-3,0,Vistara
6/25/2019,SG203,HYD_BLR,HYD,BLR,625,Clear,2:30 PM,1430,12,1,SpiceJet
6/30/2019,AI103,BLR_MUM,BLR,MUM,800,Fog,11:00 AM,1100,18,1,AirIndia
7/5/2019,6E5003,DEL_MUM,DEL,MUM,1400,Rain,9:45 PM,2145,25,1,IndiGo
7/10/2019,UK303,MUM_DEL,MUM,DEL,1400,Storm,7:30 AM,730,-8,0,Vistara
7/15/2019,SG204,BOM_HYD,BOM,HYD,710,Clear,6:15 PM,1815,0,0,SpiceJet
7/20/2019,AI104,DEL_COK,DEL,COK,2200,Clear,5:00 AM,500,35,1,AirIndia
7/25/2019,6E5004,COK_DEL,COK,DEL,2200,Rain,12:30 PM,1230,5,1,IndiGo
7/30/2019,UK304,DEL_BOM,DEL,BOM,1400,Clear,3:45 PM,1545,0,0,Vistara
8/5/2019,SG205,BLR_HYD,BLR,HYD,625,Rain,8:15 AM,815,20,1,SpiceJet
8/10/2019,6E5005,DEL_MUM,DEL,MUM,1400,Clear,1:00 PM,1300,-2,0,IndiGo
8/15/2019,AI105,MUM_DEL,MUM,DEL,1400,Fog,9:30 PM,2130,30,1,AirIndia
8/20/2019,UK305,HYD_DEL,HYD,DEL,625,Rain,7:45 AM,745,-5,0,Vistara
8/25/2019,SG206,BOM_MUM,BOM,MUM,800,Clear,2:00 PM,1400,0,0,SpiceJet
8/30/2019,6E5006,DEL_COK,DEL,COK,2200,Clear,6:30 AM,630,15,1,IndiGo
9/5/2019,6E5007,COK_DEL,COK,DEL,2200,Storm,3:00 PM,1500,-10,0,IndiGo
9/10/2019,AI106,DEL_MUM,DEL,MUM,1400,Rain,11:15 AM,1115,12,1,AirIndia
9/15/2019,SG207,BLR_DEL,BLR,DEL,1400,Clear,4:45 PM,1645,0,0,SpiceJet
9/20/2019,UK306,MUM_BOM,MUM,BOM,800,Fog,6:30 PM,1830,25,1,Vistara
9/25/2019,6E5008,DEL_COK,DEL,COK,2200,Clear,12:00 PM,1200,5,1,IndiGo
9/30/2019,6E5009,COK_DEL,COK,DEL,2200,Rain,7:30 PM,1930,-3,0,IndiGo
10/5/2019,AI107,DEL_MUM,DEL,MUM,1400,Clear,9:00 AM,900,8,1,AirIndia
2/3/2020,SG208,BLR_HYD,BLR,HYD,625,Storm,2:30 PM,1430,0,0,SpiceJet
13/4/2020,UK307,DEL_BOM,DEL,BOM,1400,Clear,3:00 PM,1500,20,1,Vistara
5/7/2020,6E5010,DEL_COK,DEL,COK,2200,Fog,6:45 AM,645,15,1,IndiGo
6/8/2020,6E5011,COK_DEL,COK,DEL,2200,Clear,1:30 PM,1330,0,0,IndiGo
9/5/2020,AI108,MUM_DEL,MUM,DEL,1400,Rain,5:15 PM,1715,10,1,AirIndia
11/5/2019,SG209,BLR_MUM,BLR,MUM,800,Clear,7:00 AM,700,-5,0,SpiceJet
23/1/2020,UK308,HYD_DEL,HYD,DEL,625,Fog,6:30 PM,1830,30,1,Vistara
9/9/2020,6E5012,DEL_COK,DEL,COK,2200,Rain,12:00 PM,1200,20,1,IndiGo
1/8/2019,6E5013,COK_DEL,COK,DEL,2200,Clear,4:30 PM,1630,-5,0,IndiGo
1/9/2019,AI109,DEL_MUM,DEL,MUM,1400,Storm,9:45 AM,945,25,1,AirIndia
4/4/2020,SG210,BLR_HYD,BLR,HYD,625,Rain,10:15 AM,1015,0,0,SpiceJet
12/5/2019,UK309,DEL_BOM,DEL,BOM,1400,Clear,3:30 PM,1530,5,1,Vistara
12/3/2020,6E5014,DEL_COK,DEL,COK,2200,Clear,6:30 AM,630,15,1,IndiGo
